Cald's Custom Universe
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
COACH,UNC,Larry Fedora,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,NCST,Dave Doeren,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,NW,Pat Fitzgerald,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ND,Brian Kelly,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,OSU,Ryan Day,30,95,95,95,95,Balanced,Balanced,,,,
COACH,OKL,Lincoln Riley,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,OKST,Mike Gundy,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,MISS,Matt Luke,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ORE,Mario Cristobal,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ORST,Jonathan Smith,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,PITT,Pat Narduzzi,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,PSU,James Franklin,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,PUR,Jeff Brohm,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,RUT,Chris Ash,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,SCAR,Will Muschamp,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,USF,Charlie Strong,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,STAN,David Shaw,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,SYR,Dino Babers,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TCU,Gary Patterson,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TEM,Geoff Collins,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TEN,Jeremy Pruitt,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TEX,Tom Herman,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TAMU,Jimbo Fisher,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TTU,Matt Wells,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TROY,Neal Brown,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TULN,Willie Fritz,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,TLSA,Philip Montgomery,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,UCLA,Chip Kelly,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,USC,Clay Helton,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,UTAH,Kyle Whittingham,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,VAN,Derek Mason,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,UVA,Bronco Mendenhall,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,VT,Justin Fuente,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,WF,Dave Clawson,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,WASH,Chris Petersen,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,WSU,Mike Leach,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,WVU,Dana Holgorsen,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,WIS,Paul Chryst,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,WYO,Craig Bohl,30,55,55,55,55,Air Raid,Aggressive,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,OSU,Kevin Wilson,30,95,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,OSU,Jeff Hafley,30,95,LB,Inside Run,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Potential,Football IQ,Durability,Attribute1,Attribute2,Attribute3,Attribute4
PLAYER,ALA,OL,Jonah Williams,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,TE,Miller Forristall,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ALA,CB,Saivion Smith,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ALA,QB,Mac Jones,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ALA,LB,Anfernee Jennings,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,LB,Joshua McMillon,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,CB,Shyheim Carter,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ALA,S,Xavier McKinney,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ALA,LB,Jarez Parks,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,OL,Scott Lashley,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,LB,Terrell Lewis,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,OL,Deonte Brown,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,OL,Lester Cotton,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,DL,Quinnen Williams,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,DL,Phidarian Mathis,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,LB,Cameron Latu,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,CB,Nigel Knott,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ALA,RB,Najee Harris,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ALA,RB,Josh Jacobs,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ALA,RB,Brian Robinson,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ALA,RB,Damien Harris,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ALA,LB,Christopher Allen,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,K,Skyler DeLong,Fr,67,180,55,55,55,55,55,55,55
PLAYER,ALA,DL,Raekwon Davis,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,CB,Josh Jobe,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ALA,OL,Matt Womack,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,DL,Christian Barmore,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,LB,Christian Miller,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,LB,Mack Wilson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,LB,Dylan Moses,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,WR,Henry Ruggs,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ALA,OL,Alex Leatherwood,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,QB,Jalen Hurts,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ALA,S,Daniel Wright,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ALA,LB,Markail Benton,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,LB,Ben Davis,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,DL,Tevita Musika,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,K,Joseph Bulovas,Fr,67,180,55,55,55,55,55,55,55
PLAYER,ALA,LB,Eyabi Anoma,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,CB,Patrick Surtain,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ALA,TE,Irv Smith,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ALA,QB,Tua Tagovailoa,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ALA,DL,Stephon Wynn,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,TE,Kedrick James,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ALA,DL,Isaiah Buggs,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,OL,Ross Pierschbacher,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,OL,Chris Owens,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,WR,Derek Kief,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ALA,DL,Johnny Dwight,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,DL,LaBryan Ray,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ALA,OL,Josh Casher,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,LB,Jamey Mosley,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,LB,Ale Kaho,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ALA,TE,Hale Hentges,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ALA,OL,Jedrick Wills,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,S,Jared Mayden,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ALA,OL,Richie Petitbon,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ALA,WR,Devonta Smith,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ALA,TE,Major Tennison,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ALA,WR,Jerry Jeudy,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ALA,WR,Chadarius Townsend,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ALA,WR,Tyrell Shavers,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ALA,S,Deionte Thompson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ALA,S,Kyriq McDonald,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ALA,WR,Jaylen Waddle,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ALA,CB,Trevon Diggs,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ALA,CB,Jalyn Armour-Davis,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ALA,WR,Xavian Marks,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ALA,S,Keaton Anderson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Finton Connolly,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Nathan Eldridge,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Demetrius F.,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Tre Adams,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Stanley Berryhill,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,CB,Jace Whittaker,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Chacho Ulloa,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Shun Brown,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,P.J. Johnson,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,CB,Malik Hausman,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ARIZ,LB,Tony Fields,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Jalen Harris,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Sione Taufahema,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Josh McCauley,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Xavier Bell,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Dereck Boles,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,CB,Tony Wallace,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ARIZ,RB,Branden Leon,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ARIZ,CB,McKenzie Barnes,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ARIZ,RB,Anthony Mariscal,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ARIZ,RB,J.J. Taylor,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Drew Dixon,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,K,Josh Pollack,Fr,67,180,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Lee Anderson,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Justin Belknap,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Mykee Irving,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,QB,Jamarye Joiner,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Michael Eletise,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Tshiyombu Lukusa,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,CB,Lorenzo Burns,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Devaughn Cooper,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Christian Young,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Donovan Laie,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Bryson Cain,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Steven Bailey,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,LB,Anthony Pandy,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Cedric Peterson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,CB,Jhevon Hill,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,J.B. Brown,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,K,Dylan Klumph,Fr,67,180,55,55,55,55,55,55,55
PLAYER,ARIZ,TE,Jamie Nunley,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ARIZ,LB,Jacob Colacion,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ARIZ,QB,Rhett Rodriguez,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ARIZ,QB,Khalil Tate,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ARIZ,QB,Kevin Doyle,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Nahe Sulunga,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Tristan Cooper,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Jon Jacobs,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Layth Friekh,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Dayven Coleman,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Scottie Young,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,LB,Colin Schooler,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ARIZ,LB,Issaiah Johnson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ARIZ,RB,Darrius Smith,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ARIZ,DL,Kylan Wilborn,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Cody Creason,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,CB,Sammy Morrison,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Isaiah Hayes,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,OL,Alex Kosinski,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ARIZ,TE,Jake Peters,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ARIZ,LB,Try Young,Fr,71,235,55,55,55,55,55,55,55
PLAYER,ARIZ,S,Jarrius Wallace,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ARIZ,CB,Malcolm Holland,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Shawn Poindexter,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Thomas Marcus,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Brian Casteel,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,RB,Gary Brightwell,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ARIZ,WR,Tony Ellison,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ARIZ,TE,Bryce Wolma,Fr,72,240,55,55,55,55,55,55,55
PLAYER,ASU,OL,Roy Hemsley,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ASU,DL,George Lea,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ASU,S,Tyler Whiley,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ASU,QB,Manny Wilkins,Fr,74,215,55,55,55,55,55,55,55
PLAYER,ASU,RB,Eno Benjamin,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ASU,CB,Paul Lucas,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ASU,S,Jalen Harvey,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ASU,RB,Isaiah Floyd,Fr,68,220,55,55,55,55,55,55,55
PLAYER,ASU,S,Langston Frederick,Fr,70,195,55,55,55,55,55,55,55
PLAYER,ASU,WR,Frank Darby,Fr,74,205,55,55,55,55,55,55,55
PLAYER,ASU,CB,K.J. Jarrell,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ASU,DL,Renell Wren,Fr,72,285,55,55,55,55,55,55,55
PLAYER,ASU,OL,Steven Miller,Fr,73,295,55,55,55,55,55,55,55
PLAYER,ASU,K,Michael Sleep-Dalton,Fr,67,180,55,55,55,55,55,55,55
PLAYER,ASU,CB,Darien Cornay,Fr,69,200,55,55,55,55,55,55,55
PLAYER,ASU,S,Dominique Harrison,Fr,70,195,55,55,55,55,55,55,55
